AccountCode,Name,Type,Subtype,IsSubledger,SubledgerType,Active,Description,ParentId,ParentCode,ParentName
2160,Unearned Revenue,liability,Other Current Liability,No,,Yes,Payments received from customers before goods or services are delivered,4075,2100,Current Liabilities
2170,Sales Tax Payable,liability,Tax,No,,Yes,Sales tax collected from customers but not yet paid to the government,4075,2100,Current Liabilities
2400,Long-term Liabilities,liability,,No,,Yes,Debts due beyond one year,4074,2,Liabilities
2410,Mortgage Payable,liability,Loan,No,,Yes,Long-term loans secured by real estate,4083,2400,Long-term Liabilities
2420,Notes Payable,liability,Loan,No,,Yes,Formal written promises to pay specified amounts,4083,2400,Long-term Liabilities
2430,Bonds Payable,liability,Loan,No,,Yes,Long-term debt securities issued by the business,4083,2400,Long-term Liabilities
3,Equity,equity,,No,,Yes,Ownership interest in the business,,,
3100,Owner's Equity,equity,,No,,Yes,Owner's investment in the business,4087,3,Equity
3110,Capital,equity,Capital,No,,Yes,Owner's contributions to the business,4088,3100,Owner's Equity
3120,Owner Draws,equity,Draw,No,,Yes,Withdrawals of business assets for personal use,4088,3100,Owner's Equity
3200,Retained Earnings,equity,,No,,Yes,Accumulated profits reinvested in the business,4087,3,Equity
3300,Common Stock,equity,,No,,Yes,Shares of ownership issued to stockholders,4087,3,Equity
3400,Additional Paid-in Capital,equity,,No,,Yes,Amount paid by shareholders for stock in excess of par value,4087,3,Equity
4,Revenue,revenue,,No,,Yes,Income earned from business activities,,,
4100,Operating Revenue,revenue,,No,,Yes,Income from primary business activities,4094,4,Revenue
4110,Service Revenue,revenue,Service,No,,Yes,Income from services provided to customers,4095,4100,Operating Revenue
4120,Product Sales,revenue,Sales,No,,Yes,Income from selling goods to customers,4095,4100,Operating Revenue
4200,Other Revenue,revenue,,No,,Yes,Income from secondary business activities,4094,4,Revenue
4210,Interest Income,revenue,Other Revenue,No,,Yes,Income earned from investments or bank accounts,4098,4200,Other Revenue
4220,Rental Income,revenue,Other Revenue,No,,Yes,Income from renting property to others,4098,4200,Other Revenue
4230,Gain on Sale of Assets,revenue,Other Revenue,No,,Yes,Profits from selling business assets,4098,4200,Other Revenue
5,Expenses,expense,,No,,Yes,Costs incurred in business operations,,,
5100,Cost of Goods Sold,expense,,No,,Yes,Direct costs of producing goods or services sold,4102,5,Expenses
5110,Purchases,expense,COGS,No,,Yes,Cost of inventory bought for resale,4103,5100,Cost of Goods Sold
5120,Direct Labor,expense,COGS,No,,Yes,Wages paid to employees directly involved in production,4103,5100,Cost of Goods Sold
5130,Manufacturing Overhead,expense,COGS,No,,Yes,Indirect costs of production not easily traceable to specific products,4103,5100,Cost of Goods Sold
6000,Operating Expenses,expense,,No,,Yes,Costs of running the business not directly tied to production,4102,5,Expenses
6100,Office Expenses,expense,,No,,Yes,Costs related to office operations,4107,6000,Operating Expenses
6110,Office Supplies,expense,Office,No,,Yes,Consumable items used in the office,4108,6100,Office Expenses
6120,Office Equipment,expense,Office,No,,Yes,Small equipment items not capitalized,4108,6100,Office Expenses
6200,Payroll Expenses,expense,,No,,Yes,All costs related to employee compensation,4107,6000,Operating Expenses
6210,Salaries and Wages,expense,Payroll,No,,Yes,Regular pay to employees,4111,6200,Payroll Expenses
6220,Payroll Taxes,expense,Payroll,No,,Yes,Employer portion of taxes on employee wages,4111,6200,Payroll Expenses
6230,Employee Benefits,expense,Payroll,No,,Yes,"Health insurance, retirement plans, and other benefits",4111,6200,Payroll Expenses
6300,Rent and Utilities,expense,,No,,Yes,Costs for business facilities,4107,6000,Operating Expenses
6310,Rent,expense,Facilities,No,,Yes,Payments for leased property,4115,6300,Rent and Utilities
6320,Utilities,expense,Facilities,No,,Yes,"Electricity, water, gas, internet, and phone services",4115,6300,Rent and Utilities
6400,Professional Services,expense,,No,,Yes,Fees paid to outside service providers,4107,6000,Operating Expenses
6410,Legal Fees,expense,Professional Services,No,,Yes,Costs for legal counsel and services,4118,6400,Professional Services
6420,Accounting Fees,expense,Professional Services,No,,Yes,Costs for accounting and bookkeeping services,4118,6400,Professional Services
6430,Consulting Fees,expense,Professional Services,No,,Yes,Payments to consultants and advisors,4118,6400,Professional Services
6500,Insurance,expense,,No,,Yes,Business insurance premiums,4107,6000,Operating Expenses
6600,Marketing and Advertising,expense,,No,,Yes,Costs to promote the business,4107,6000,Operating Expenses
6700,Travel and Entertainment,expense,,No,,Yes,"Business travel, meals, and entertainment expenses",4107,6000,Operating Expenses
6800,Depreciation Expense,expense,Depreciation,No,,Yes,Allocation of asset costs over their useful lives,4107,6000,Operating Expenses
7000,Other Expenses,expense,,No,,Yes,Expenses not classified elsewhere,4102,5,Expenses
7100,Interest Expense,expense,Other Expense,No,,Yes,Interest paid on loans and credit,4126,7000,Other Expenses
7200,Bank Fees,expense,Other Expense,No,,Yes,Charges for banking services,4126,7000,Other Expenses
7300,Loss on Sale of Assets,expense,Other Expense,No,,Yes,Losses from selling business assets,4126,7000,Other Expenses
9000,Income Taxes,expense,,No,,Yes,Taxes paid on business profits,4102,5,Expenses
